Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 03/24  04:00:00,9469604.825749658,9469604.825749658,0.0 
 03/24  05:00:00,9469604.825749658,9469604.825749658,0.0 
 03/24  06:00:00,22355051.939203409,22355051.939203405,2306677.768800032 
 03/24  07:00:00,28024613.59789028,28024613.59789028,0.0 
 03/24  08:00:00,33105692.12460472,33105692.124604718,0.0 
 03/24  09:00:00,31316481.332720493,31316481.33272048,0.0 
 03/24  10:00:00,29090064.72694144,29090064.726941434,0.0 
 03/24  11:00:00,28641426.795562574,28641426.79556257,0.0 
 03/24  12:00:00,28952057.578039376,28952057.578039368,0.0 
 03/24  13:00:00,28641597.52655688,28641597.52655688,0.0 
 03/24  14:00:00,29383589.998525837,29383589.99852583,0.0 
 03/24  15:00:00,29463237.203440489,29463237.203440478,0.0 
 03/24  16:00:00,29578151.899869909,29578151.899869905,0.0 
 03/24  17:00:00,25605581.939678745,25605581.939678745,0.0 
 03/24  18:00:00,21316288.262932205,21316288.262932194,0.0 
 03/24  19:00:00,11853154.258345897,11853154.258345895,0.0 
 03/24  20:00:00,10637784.395628443,10637784.395628443,0.0 
 03/24  21:00:00,10637784.395628443,10637784.395628443,0.0 
 03/24  22:00:00,9543951.519120457,9543951.519120455,0.0 
 03/24  23:00:00,7197449.08321209,7197449.08321209,0.0 
 03/24  24:00:00,9469604.825749658,9469604.825749658,0.0 
 03/25  01:00:00,6404338.596677196,6404338.596677196,0.0 
 03/25  02:00:00,6404338.596677196,6404338.596677196,0.0 
 03/25  03:00:00,6404338.596677196,6404338.596677196,0.0 
 03/25  04:00:00,6404338.596677196,6404338.596677196,0.0 
 03/25  05:00:00,6404338.596677196,6404338.596677196,0.0 
 03/25  06:00:00,7229158.596677196,7229158.596677195,0.0 
 03/25  07:00:00,5395258.596677196,5395258.596677196,0.0 
 03/25  08:00:00,5395258.596677196,5395258.596677196,0.0 
 03/25  09:00:00,5395258.596677196,5395258.596677196,0.0 
 03/25  10:00:00,5395258.596677196,5395258.596677196,0.0 
 03/25  11:00:00,4795258.596677196,4795258.596677196,0.0 
 03/25  12:00:00,4495258.596677196,4495258.596677196,0.0 
 03/25  13:00:00,4495258.596677196,4495258.596677196,0.0 
 03/25  14:00:00,4495258.596677196,4495258.596677196,0.0 
 03/25  15:00:00,4495258.596677196,4495258.596677196,0.0 
 03/25  16:00:00,4495258.596677196,4495258.596677196,0.0 
 03/25  17:00:00,4495258.596677196,4495258.596677196,0.0 
 03/25  18:00:00,4495258.596677196,4495258.596677197,0.0 
 03/25  19:00:00,6194038.596677196,6194038.596677195,0.0 
 03/25  20:00:00,6794038.596677196,6794038.596677196,0.0 
 03/25  21:00:00,6794038.596677196,6794038.596677196,0.0 
 03/25  22:00:00,6794038.596677196,6794038.596677196,0.0 
 03/25  23:00:00,6794038.596677196,6794038.596677196,0.0 
 03/25  24:00:00,6404338.596677196,6404338.596677196,0.0 
 03/26  01:00:00,6404338.596677196,6404338.596677196,0.0 
 03/26  02:00:00,6404338.596677196,6404338.596677196,0.0 
 03/26  03:00:00,6404338.596677196,6404338.596677196,0.0 
 03/26  04:00:00,6404338.596677196,6404338.596677196,0.0 
 03/26  05:00:00,6404338.596677196,6404338.596677196,0.0 
 03/26  06:00:00,7229158.596677196,7229158.596677195,0.0 
 03/26  07:00:00,5395258.596677196,5395258.596677196,0.0 
 03/26  08:00:00,4945258.596677196,4945258.596677196,0.0 
 03/26  09:00:00,4495258.596677196,4495258.596677197,0.0 
 03/26  10:00:00,4495258.596677196,4495258.596677197,0.0 
 03/26  11:00:00,4495258.596677196,4495258.596677197,0.0 
 03/26  12:00:00,4495258.596677196,4495258.596677197,0.0 
 03/26  13:00:00,4495258.596677196,4495258.596677196,0.0 
 03/26  14:00:00,4495258.596677196,4495258.596677196,0.0 
 03/26  15:00:00,4495258.596677196,4495258.596677196,0.0 
 03/26  16:00:00,4495258.596677196,4495258.596677197,0.0 
 03/26  17:00:00,4495258.596677196,4495258.596677197,0.0 
 03/26  18:00:00,4495258.596677196,4495258.596677197,0.0 
 03/26  19:00:00,5894038.596677196,5894038.596677195,0.0 
 03/26  20:00:00,5894038.596677196,5894038.596677196,0.0 
 03/26  21:00:00,5894038.596677196,5894038.596677196,0.0 
 03/26  22:00:00,5894038.596677196,5894038.596677196,0.0 
 03/26  23:00:00,5894038.596677196,5894038.596677196,0.0 
 03/26  24:00:00,5504338.596677196,5504338.596677196,0.0 
 03/27  01:00:00,8569604.825749658,8569604.825749658,0.0 
 03/27  02:00:00,8569604.825749658,8569604.825749658,0.0 
 03/27  03:00:00,8569604.825749658,8569604.825749658,0.0 
 03/27  04:00:00,8569604.825749658,8569604.825749658,0.0 
 03/27  05:00:00,8569604.825749658,8569604.825749658,0.0 
 03/27  06:00:00,18428513.875182317,18428513.875182317,0.0 
 03/27  07:00:00,20484589.06892804,20484589.06892804,0.0 
 03/27  08:00:00,29390160.647379545,29390160.64737954,0.0 
 03/27  09:00:00,29409354.808105217,29409354.808105217,0.0 
 03/27  10:00:00,28928257.666367126,28928257.66636712,0.0 
 03/27  11:00:00,28396874.025737037,28396874.025737034,0.0 
 03/27  12:00:00,26623036.687959315,26623036.68795932,0.0 
 03/27  13:00:00,29891865.65108817,29891865.651088168,0.0 
 03/27  14:00:00,31343747.32160496,31343747.321604954,0.0 
 03/27  15:00:00,32255563.118897708,32255563.118897708,0.0 
 03/27  16:00:00,32673601.33894353,32673601.338943524,0.0 
 03/27  17:00:00,20434510.63977135,20434510.63977135,0.0 
 03/27  18:00:00,14756426.024694162,14756426.024694153,0.0 
 03/27  19:00:00,10953154.258345897,10953154.258345895,0.0 
 03/27  20:00:00,9737784.395628443,9737784.395628443,0.0 
 03/27  21:00:00,9737784.395628443,9737784.395628443,0.0 
 03/27  22:00:00,8643951.519120457,8643951.519120455,0.0 
 03/27  23:00:00,6297449.08321209,6297449.08321209,0.0 
 03/27  24:00:00,8569604.825749658,8569604.825749658,0.0 
 03/28  01:00:00,8569604.825749658,8569604.825749658,0.0 
 03/28  02:00:00,8569604.825749658,8569604.825749658,0.0 
 03/28  03:00:00,8569604.825749658,8569604.825749658,0.0 
 03/28  04:00:00,8569604.825749658,8569604.825749658,0.0 
 03/28  05:00:00,8569604.825749658,8569604.825749658,0.0 
 03/28  06:00:00,17599189.65837936,17599189.65837936,0.0 
 03/28  07:00:00,21871960.342534108,21871960.342534108,0.0 
 03/28  08:00:00,29164995.08012326,29164995.080123255,0.0 
 03/28  09:00:00,29390600.79796831,29390600.797968307,0.0 
 03/28  10:00:00,28975551.727354178,28975551.727354178,0.0 
 03/28  11:00:00,28327328.92498694,28327328.924986934,0.0 
 03/28  12:00:00,27493161.289502089,27493161.289502089,0.0 
 03/28  13:00:00,28172220.18324861,28172220.18324861,0.0 
 03/28  14:00:00,28388544.452101608,28388544.452101605,0.0 
 03/28  15:00:00,28539030.450565719,28539030.450565716,0.0 
 03/28  16:00:00,28660566.141000656,28660566.141000645,0.0 
 03/28  17:00:00,21665282.78360784,21665282.78360784,0.0 
 03/28  18:00:00,16012177.885601385,16012177.885601379,0.0 
 03/28  19:00:00,10953154.258345897,10953154.258345895,0.0 
 03/28  20:00:00,9737784.395628443,9737784.395628443,0.0 
 03/28  21:00:00,9737784.395628443,9737784.395628443,0.0 
 03/28  22:00:00,8643951.519120457,8643951.519120455,0.0 
 03/28  23:00:00,6297449.08321209,6297449.08321209,0.0 
 03/28  24:00:00,8569604.825749658,8569604.825749658,0.0 
