Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 07/03  23:00:00,6297449.08321209,6297449.08321209,0.0 
 07/03  24:00:00,8569604.825749658,8569604.825749658,0.0 
 07/04  01:00:00,5504338.596677196,5504338.596677196,0.0 
 07/04  02:00:00,5504338.596677196,5504338.596677196,0.0 
 07/04  03:00:00,5504338.596677196,5504338.596677196,0.0 
 07/04  04:00:00,5504338.596677196,5504338.596677196,0.0 
 07/04  05:00:00,4831618.596677196,4831618.596677196,0.0 
 07/04  06:00:00,4495258.596677196,4495258.596677196,0.0 
 07/04  07:00:00,4495258.596677196,4495258.596677196,0.0 
 07/04  08:00:00,4495258.596677196,4495258.596677196,0.0 
 07/04  09:00:00,4495258.596677196,4495258.596677196,0.0 
 07/04  10:00:00,4495258.596677196,4495258.596677196,0.0 
 07/04  11:00:00,4495258.596677196,4495258.596677196,0.0 
 07/04  12:00:00,4495258.596677196,4495258.596677197,0.0 
 07/04  13:00:00,4495258.596677196,4495258.596677196,0.0 
 07/04  14:00:00,4495258.596677196,4495258.596677196,0.0 
 07/04  15:00:00,4495258.596677196,4495258.596677196,0.0 
